,CDSCode,Zip,median_income,mean_income,County,Distrinct,School Name,District Type,School Type,Low Grade,High Grade,Enrollment (K-12),Enrollment (K-12),Free Meal Count (K-12),Percent (%) Eligible Free (K-12),FRPM Count (K-12),Percent (%) Eligible FRPM (K-12),AvgScrRead,AvgScrMath,AvgScrWrite,FreeLunch,ReducedLunch,FullLunch
64,07616300730283,94549.0,137344,181992,Contra Costa,,Acalanes High,High School District,High Schools (Public),9,12,1396.0,1396.0,26.0,0.0186246418338109,37.0,0.0265042979942693,586.0,604.0,587.0,0.0186246418338109,0.007879656160458399,0.9734957020057307
65,07616300731125,94556.0,133088,172786,Contra Costa,,Campolindo High,High School District,High Schools (Public),9,12,1253.0,1253.0,19.0,0.0151636073423783,31.0,0.0247406225059856,603.0,617.0,616.0,0.0151636073423783,0.0095770151636073,0.9752593774940144
66,07616300733725,94596.0,78856,103959,Contra Costa,,Las Lomas High,High School District,High Schools (Public),9,12,1541.0,1541.0,124.0,0.0804672290720312,158.0,0.102530824140169,565.0,554.0,560.0,0.0804672290720312,0.022063595068137792,0.897469175859831
67,07616300734244,94563.0,166147,233460,Contra Costa,,Miramonte High,High School District,High Schools (Public),9,12,1155.0,1155.0,8.0,0.00692640692640693,17.0,0.0147186147186147,628.0,633.0,633.0,0.00692640692640693,0.0077922077922077705,0.9852813852813853
68,07616480117218,94531.0,88693,99194,Contra Costa,,Dozier-Libbey Medical High,Unified School District,Alternative Schools of Choice,9,12,652.0,652.0,273.0,0.418711656441718,351.0,0.538343558282209,496.0,485.0,495.0,0.418711656441718,0.11963190184049105,0.46165644171779097
69,07616480730465,94531.0,88693,99194,Contra Costa,,Deer Valley High,Unified School District,High Schools (Public),9,12,2659.0,2659.0,1189.0,0.447160586686724,1437.0,0.540428732606243,478.0,477.0,464.0,0.447160586686724,0.09326814591951904,0.459571267393757
70,07616480730861,94509.0,54372,68049,Contra Costa,,Antioch High,Unified School District,High Schools (Public),9,12,1774.0,1774.0,1066.0,0.600901916572717,1222.0,0.688838782412627,477.0,465.0,463.0,0.600901916572717,0.08793686583991,0.31116121758737303
71,07616970737023,94525.0,81667,93088,Contra Costa,,John Swett High,Unified School District,High Schools (Public),9,12,529.0,529.0,238.0,0.449905482041588,292.0,0.551984877126654,477.0,512.0,485.0,0.449905482041588,0.10207939508506603,0.448015122873346
72,07617210107797,94513.0,89607,103228,Contra Costa,,Heritage High,High School District,High Schools (Public),9,12,2503.0,2503.0,289.0,0.115461446264483,349.0,0.13943268078306,520.0,510.0,511.0,0.115461446264483,0.02397123451857701,0.86056731921694
73,07617210733980,94513.0,89607,103228,Contra Costa,,Liberty High,High School District,High Schools (Public),9,12,2520.0,2520.0,717.0,0.284523809523809,846.0,0.335714285714286,479.0,479.0,476.0,0.284523809523809,0.05119047619047701,0.6642857142857139
74,07617210730457,94561.0,77706,89900,Contra Costa,,Freedom High,High School District,High Schools (Public),9,12,2550.0,2550.0,739.0,0.289803921568627,910.0,0.356862745098039,470.0,455.0,464.0,0.289803921568627,0.067058823529412,0.6431372549019609
75,07617390730549,94553.0,76669,94815,Contra Costa,,Alhambra Senior High,Unified School District,High Schools (Public),9,12,1181.0,1181.0,202.0,0.171041490262489,275.0,0.232853513971211,518.0,543.0,523.0,0.171041490262489,0.06181202370872202,0.767146486028789
76,07617540730044,94598.0,121337,150504,Contra Costa,,Northgate High,Unified School District,High Schools (Public),9,12,1671.0,1671.0,121.0,0.0724117295032914,154.0,0.0921603830041891,568.0,586.0,566.0,0.0724117295032914,0.019748653500897703,0.907839616995811
77,07617540731646,94523.0,81685,105603,Contra Costa,,College Park High,Unified School District,High Schools (Public),9,12,2022.0,2022.0,370.0,0.182987141444115,472.0,0.233432245301681,540.0,558.0,527.0,0.182987141444115,0.05044510385756601,0.766567754698319
78,07617540734566,94520.0,47656,61093,Contra Costa,,Mt. Diablo High,Unified School District,High Schools (Public),9,12,1352.0,1352.0,892.0,0.659763313609468,1047.0,0.774408284023669,437.0,436.0,436.0,0.659763313609468,0.11464497041420096,0.225591715976331
79,07617540737809,94518.0,73040,89768,Contra Costa,,Ygnacio Valley High,Unified School District,High Schools (Public),9,12,1134.0,1134.0,753.0,0.664021164021164,857.0,0.755731922398589,458.0,455.0,451.0,0.664021164021164,0.09171075837742504,0.244268077601411
80,07617880735407,94565.0,55865,69930,Contra Costa,,Pittsburg Senior High,Unified School District,High Schools (Public),9,12,3061.0,3061.0,1750.0,0.571708591963411,2135.0,0.697484482195361,446.0,436.0,442.0,0.571708591963411,0.12577589023195002,0.30251551780463903
81,07617960101477,94801.0,38856,57718,Contra Costa,,Leadership Public Schools: Richmond,Unified School District,High Schools (Public),9,12,480.0,480.0,382.0,0.795833333333333,455.0,0.947916666666667,394.0,413.0,410.0,0.795833333333333,0.15208333333333401,0.05208333333333304
82,07617960733253,94801.0,38856,57718,Contra Costa,,Gompers (Samuel) Continuation,Unified School District,Continuation High Schools,9,12,261.0,261.0,164.0,0.628352490421456,178.0,0.681992337164751,314.0,289.0,312.0,0.628352490421456,0.05363984674329503,0.31800766283524895
83,07617960730598,94547.0,100204,111826,Contra Costa,,Hercules High,Unified School District,High Schools (Public),9,12,935.0,935.0,298.0,0.318716577540107,386.0,0.412834224598931,451.0,454.0,454.0,0.318716577540107,0.09411764705882397,0.5871657754010691
84,07617960732164,94803.0,76232,99060,Contra Costa,,De Anza Senior High,Unified School District,High Schools (Public),9,12,1263.0,1263.0,742.0,0.587490102929533,884.0,0.699920823436263,399.0,395.0,409.0,0.587490102929533,0.11243072050673009,0.30007917656373695
85,07617960732941,94530.0,87598,106078,Contra Costa,,El Cerrito Senior High,Unified School District,High Schools (Public),9,12,1364.0,1364.0,572.0,0.419354838709677,691.0,0.506598240469208,444.0,445.0,439.0,0.419354838709677,0.08724340175953099,0.493401759530792
86,07617960733659,94804.0,49541,64259,Contra Costa,,Kennedy High,Unified School District,High Schools (Public),9,12,865.0,865.0,640.0,0.739884393063584,687.0,0.794219653179191,346.0,345.0,348.0,0.739884393063584,0.054335260115606965,0.20578034682080903
