Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,Educational Option Type,NSLP Provision Status,Charter School (Y/N),Charter School Number,Charter Funding Type,IRC,Low Grade,High Grade,Enrollment (K-12),Free Meal Count (K-12),Percent (%) Eligible Free (K-12),FRPM Count (K-12),Percent (%) Eligible FRPM (K-12),Enrollment (Ages 5-17),Free Meal Count (Ages 5-17),Percent (%) Eligible Free (Ages 5-17),FRPM Count (Ages 5-17),Percent (%) Eligible FRPM (Ages 5-17),2013-14 CALPADS Fall 1 Certification Status
2014-2015,01,61192,6062160,Alameda,Hayward Unified,Strobridge Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,6,620.0,430.0,0.693548387096774,486.0,0.783870967741935,619.0,430.0,0.694668820678514,486.0,0.78513731825525,1
2014-2015,01,61192,6066476,Alameda,Hayward Unified,"Martin Luther King, Jr. Middle",Unified School District,Intermediate/Middle Schools (Public),Traditional,,0,,,0,7,8,829.0,572.0,0.689987937273824,662.0,0.798552472858866,829.0,572.0,0.689987937273824,662.0,0.798552472858866,1
2014-2015,01,61192,6090583,Alameda,Hayward Unified,Eden Gardens Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,6,559.0,303.0,0.542039355992844,356.0,0.636851520572451,559.0,303.0,0.542039355992844,356.0,0.636851520572451,1
2014-2015,01,61192,6104566,Alameda,Hayward Unified,Tyrrell Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,6,769.0,626.0,0.814044213263979,664.0,0.863459037711314,769.0,626.0,0.814044213263979,664.0,0.863459037711314,1
2014-2015,01,61192,6113815,Alameda,Hayward Unified,Faith Ringgold School of Arts and Science,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,8,145.0,92.0,0.63448275862069,107.0,0.737931034482759,145.0,92.0,0.63448275862069,107.0,0.737931034482759,1
2014-2015,01,61200,0000001,Alameda,Livermore Valley Joint Unified,"Nonpublic, Nonsectarian Schools",Unified School District,,,,,,,,,,31.0,3.0,0.0967741935483871,3.0,0.0967741935483871,29.0,3.0,0.103448275862069,3.0,0.103448275862069,1
2014-2015,01,61200,0107839,Alameda,Livermore Valley Joint Unified,Livermore Valley Charter,Unified School District,Elementary Schools (Public),Traditional,,1,1565,Directly funded,1,K,8,1113.0,34.0,0.0305480682839173,34.0,0.0305480682839173,1097.0,33.0,0.0300820419325433,33.0,0.0300820419325433,1
2014-2015,01,61200,0130393,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,0,,,0,1,12,93.0,13.0,0.139784946236559,16.0,0.172043010752688,84.0,9.0,0.107142857142857,12.0,0.142857142857143,1
2014-2015,01,61200,0132670,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,Unified School District,Continuation High Schools,Continuation School,,0,,,0,7,12,143.0,75.0,0.524475524475525,83.0,0.58041958041958,99.0,50.0,0.505050505050505,57.0,0.575757575757576,1
2014-2015,01,61200,0133397,Alameda,Livermore Valley Joint Unified,Granada High,Unified School District,High Schools (Public),Traditional,,0,,,0,9,12,2017.0,291.0,0.14427367377293,354.0,0.175508180466039,1950.0,274.0,0.140512820512821,335.0,0.171794871794872,1
2014-2015,01,61200,0134536,Alameda,Livermore Valley Joint Unified,Livermore High,Unified School District,High Schools (Public),Traditional,,0,,,0,9,12,1771.0,348.0,0.196499153020892,430.0,0.242800677583286,1724.0,334.0,0.193735498839907,416.0,0.241299303944316,1
2014-2015,01,61200,6001234,Alameda,Livermore Valley Joint Unified,Junction K-8,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,8,872.0,523.0,0.599770642201835,570.0,0.653669724770642,872.0,523.0,0.599770642201835,570.0,0.653669724770642,1
2014-2015,01,61200,6001242,Alameda,Livermore Valley Joint Unified,East Avenue Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,0,,,0,6,8,624.0,173.0,0.27724358974359,206.0,0.330128205128205,624.0,173.0,0.27724358974359,206.0,0.330128205128205,1
2014-2015,01,61200,6001259,Alameda,Livermore Valley Joint Unified,Emma C. Smith Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,727.0,73.0,0.10041265474553,82.0,0.112792297111417,727.0,73.0,0.10041265474553,82.0,0.112792297111417,1
2014-2015,01,61200,6001283,Alameda,Livermore Valley Joint Unified,Jackson Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,532.0,203.0,0.381578947368421,248.0,0.466165413533835,517.0,199.0,0.384912959381044,243.0,0.470019342359768,1
2014-2015,01,61200,6001291,Alameda,Livermore Valley Joint Unified,Joe Michell,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,8,581.0,181.0,0.311531841652324,203.0,0.349397590361446,557.0,178.0,0.319569120287253,200.0,0.359066427289048,1
2014-2015,01,61200,6001317,Alameda,Livermore Valley Joint Unified,Marylin Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,421.0,328.0,0.779097387173397,351.0,0.833729216152019,409.0,318.0,0.777506112469438,341.0,0.833740831295844,1
2014-2015,01,61200,6001341,Alameda,Livermore Valley Joint Unified,William Mendenhall Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,0,,,0,6,8,958.0,86.0,0.0897703549060543,107.0,0.111691022964509,958.0,86.0,0.0897703549060543,107.0,0.111691022964509,1
