Zip,median_income,mean_income
92067,119939,180604
92069,52457,68969
92070,43333,55322
92071,74393,85127
92075,90833,140076
92078,55530,74372
92081,54565,68650
92082,79348,91559
92083,46073,57620
92084,50401,68789
92086,33375,50552
92091,94318,150042
92101,52314,82901
92102,41575,57357
92103,65793,91871
92104,48733,66390
92105,36893,47349
92106,81973,124368
92107,66825,89277
92108,65297,74443
92109,67025,91344
92110,60920,77981
92111,55635,73545
92113,28185,40649
92114,57287,67323
92115,42828,60008
92116,54966,73642
92117,65319,81762
92118,90876,120886
92119,70261,83236
92120,79895,104153
92121,103598,123536
92122,71307,91777
92123,71911,84960
92124,80625,98875
92126,85707,96782
92127,123459,152720
92128,90298,105088
92129,109267,123461
92130,131166,171029
92131,119924,144951
92139,59679,68146
92145,228587,283786
92154,60162,70459
92173,35745,44968
92201,40024,54675
92203,68027,90720
92210,83269,143700
92211,57557,86878
92220,39917,51988
92223,64738,78308
92225,43638,56774
92227,42711,57536
92230,40079,41033
92231,34733,48548
92233,32328,48181
92234,43170,58305
92236,40897,49400
92239,55750,53484
92240,35315,43719
92241,34896,46631
92242,26667,42309
92243,42206,59479
92249,53054,56074
92250,43264,58887
92251,76526,81488
92252,39409,53462
92253,71697,100179
92254,26491,35501
92256,32045,47133
92257,18220,35235
92258,25707,30474
92259,21912,21900
92260,50309,79084
92262,46519,70835
92264,43703,68722
92266,31296,28719
92268,41964,61961
92270,71688,122086
92273,26852,40904
92274,27890,40342
92275,19375,34088
92276,43917,53239
92277,37316,48927
92278,59728,72626
92281,32054,38442
92282,34063,38635
92283,29511,42068
92284,42517,52302
92285,29362,43920
92301,34537,40052
92305,62109,64233
92307,57124,76921
92308,43345,58115
92309,36838,43468
92310,49928,60089
92311,45889,54714
92313,64140,78604
92314,46518,57820
92315,41202,67308
92316,48788,57736
92320,42212,58520
92321,64612,74141
92322,37188,80200
92324,41278,55263
92325,47394,56453
92327,35603,34640
92328,34750,37818
92333,38229,61571
92335,43092,52398
92336,87425,94788
92337,69966,77195
92339,45147,80621
92341,14848,32899
92342,66775,71287
92344,69171,80558
92345,42323,53860
