Zip,median_income,mean_income
95947,34500,55225
95948,44423,57916
95949,60459,74953
95950,42273,57586
95951,37500,51563
95953,46392,61112
95954,40545,50622
95955,47031,73453
95956,56923,80647
95957,58438,75478
95959,58913,81266
95960,29250,38894
95961,46441,57094
95962,59832,78308
95963,39485,54363
95965,35220,48236
95966,40775,54643
95968,33100,41297
95969,41982,58737
95970,57639,81451
95971,51869,58334
95973,56541,74503
95975,57969,80240
95977,48500,64255
95979,47500,57093
95982,63816,83281
95983,26250,46094
95987,55355,68955
95988,48443,71774
95991,43165,57109
95993,64034,84048
96001,46422,67470
96002,43657,56008
96003,46497,61144
96006,65625,67125
96007,38907,47481
96008,53419,67982
96009,56563,62451
96010,32500,37076
96011,18750,30589
96013,38089,44849
96014,57917,48966
96015,24205,39803
96016,49732,65107
96017,38438,45577
96019,40455,49576
96020,42433,59543
96021,39756,47163
96022,52154,65463
96023,30710,43058
96024,44583,61712
96025,32721,40770
96027,43430,52089
96028,40781,54389
96029,54688,55629
96031,23542,30529
96032,47625,50091
96033,29306,37351
96034,30500,38139
96035,44028,60316
96037,14688,19075
96038,38889,45582
96039,28750,36643
96040,36429,41289
96041,26827,41960
96044,37727,44833
96046,29952,42755
96047,25662,40899
96048,34191,55645
96049,12404,16980
96050,34464,45439
96051,45268,61631
96052,32634,54579
96054,21875,28196
96055,40747,53809
96056,44348,54743
96057,38500,48788
96058,31058,54035
96059,36447,54242
96061,78750,70142
96062,61488,83058
96063,52500,64912
96064,42627,54590
96065,36875,54991
96067,46318,61679
96068,38750,42336
96069,36310,50151
96071,36875,35003
96073,81328,101166
96074,31250,31653
96075,20972,32002
96076,41042,46129
96080,39288,53486
96084,42619,47146
96085,64219,66219
96086,21838,31132
96087,27727,54122
96088,47440,58019
96090,47679,51977
96091,31917,54692
96092,39013,62466
96093,44554,61032
96094,41772,53531
96096,58889,75557
96097,28953,45278
96101,41016,53959
96103,60268,77734
96104,29048,48257
96105,43971,43018
96106,80313,78844
96107,52279,62010
96109,29659,42078
96110,26771,89141
96111,34688,53121
96112,26250,39710
96113,47644,52424
96114,69688,83811
96115,31250,41263
96116,24625,30887
96117,49063,74873
96118,44250,56256
96119,43750,43775
96120,61157,72336
96121,87596,84298
96122,34945,52489
96123,33333,32658
96124,41522,67297
96125,109545,129023
96126,32500,41193
96128,70781,80342
96130,54527,64628
96132,42500,29868
96133,28261,25935
96134,37235,51487
96136,135076,96402
96137,48950,71353
96140,72204,87844
96141,57212,86443
96142,42857,70953
96143,40340,59048
96145,68887,88887
96146,53250,74270
96148,52841,65040
96150,47500,62684
96161,75172,105535
97635,31477,43666
